------------------------------------------------------------
 Ids vs. Vfg (pH = 2)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                0.59,          7.23817e-06
                 0.6,          7.79462e-06
                0.61,          8.36514e-06
                0.62,          8.94883e-06
                0.63,          9.54489e-06
                0.64,          1.01525e-05
                0.65,           1.0771e-05
                0.66,          1.13997e-05
                0.67,           1.2038e-05
                0.68,          1.26852e-05
                0.69,          1.33409e-05
                 0.7,          1.40045e-05
                0.71,          1.46756e-05
                0.72,          1.53538e-05
                0.73,          1.60386e-05
                0.74,          1.67297e-05
                0.75,          1.74268e-05
                0.76,          1.81295e-05
                0.77,          1.88375e-05
                0.78,          1.95505e-05
                0.79,          2.02684e-05
                 0.8,          2.09908e-05
                0.81,          2.17175e-05
                0.82,          2.24483e-05
                0.83,          2.31831e-05
                0.84,          2.39216e-05
                0.85,          2.46636e-05
                0.86,          2.54091e-05
                0.87,          2.61578e-05
                0.88,          2.69096e-05
                0.89,          2.76644e-05
                 0.9,           2.8422e-05
                0.91,          2.91824e-05
                0.92,          2.99454e-05
                0.93,          3.07109e-05
                0.94,          3.14788e-05
                0.95,          3.22491e-05
                0.96,          3.30215e-05
                0.97,          3.37961e-05
                0.98,          3.45728e-05
                0.99,          3.53515e-05
                   1,          3.61321e-05
                1.01,          3.69145e-05
                1.02,          3.76987e-05
                1.03,          3.84846e-05
                1.04,          3.92722e-05
                1.05,          4.00615e-05
                1.06,          4.08522e-05
                1.07,          4.16445e-05
                1.08,          4.24382e-05
                1.09,          4.32333e-05
                 1.1,          4.40298e-05
                1.11,          4.48277e-05
                1.12,          4.56267e-05
                1.13,          4.64271e-05
                1.14,          4.72286e-05
                1.15,          4.80313e-05
                1.16,          4.88352e-05
                1.17,          4.96401e-05
                1.18,          5.04462e-05
                1.19,          5.12532e-05
                 1.2,          5.20613e-05
                1.21,          5.28704e-05
                1.22,          5.36804e-05
                1.23,          5.44913e-05
                1.24,          5.53032e-05
                1.25,          5.61159e-05
                1.26,          5.69295e-05
                1.27,           5.7744e-05
                1.28,          5.85592e-05
                1.29,          5.93753e-05
                 1.3,          6.01921e-05
                1.31,          6.10097e-05
                1.32,           6.1828e-05
                1.33,          6.26471e-05
                1.34,          6.34668e-05
                1.35,          6.42872e-05
                1.36,          6.51083e-05
                1.37,          6.59301e-05
                1.38,          6.67525e-05
                1.39,          6.75755e-05
                 1.4,          6.83992e-05
                1.41,          6.92234e-05
                1.42,          7.00482e-05
                1.43,          7.08736e-05
                1.44,          7.16995e-05
                1.45,           7.2526e-05
                1.46,           7.3353e-05
                1.47,          7.41806e-05
                1.48,          7.50087e-05
                1.49,          7.58372e-05
                 1.5,          7.66663e-05

------------------------------------------------------------
 Ids vs. Vfg (pH = 4)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                -1.5,           1.2821e-06
               -1.49,          1.27225e-06
               -1.48,           1.2624e-06
               -1.47,          1.25254e-06
               -1.46,          1.24268e-06
               -1.45,          1.23281e-06
               -1.44,          1.22295e-06
               -1.43,          1.21307e-06
               -1.42,           1.2032e-06
               -1.41,          1.19332e-06
                -1.4,          1.18344e-06
               -1.39,          1.17355e-06
               -1.38,          1.16365e-06
               -1.37,          1.15376e-06
               -1.36,          1.14386e-06
               -1.35,          1.13395e-06
               -1.34,          1.12404e-06
               -1.33,          1.11412e-06
               -1.32,           1.1042e-06
               -1.31,          1.09427e-06
                -1.3,          1.08434e-06
               -1.29,           1.0744e-06
               -1.28,          1.06446e-06
               -1.27,           1.0545e-06
               -1.26,          1.04455e-06
               -1.25,          1.03458e-06
               -1.24,          1.02461e-06
               -1.23,          1.01463e-06
               -1.22,          1.00464e-06
               -1.21,          9.94651e-07
                -1.2,          9.84648e-07
               -1.19,          9.74638e-07
               -1.18,          9.64618e-07
               -1.17,           9.5459e-07
               -1.16,          9.44552e-07
               -1.15,          9.34504e-07
               -1.14,          9.24446e-07
               -1.13,          9.14377e-07
               -1.12,          9.04297e-07
               -1.11,          8.94205e-07
                -1.1,          8.84101e-07
               -1.09,          8.73984e-07
               -1.08,          8.63854e-07
               -1.07,          8.53709e-07
               -1.06,          8.43551e-07
               -1.05,          8.33376e-07
               -1.04,          8.23186e-07
               -1.03,          8.12978e-07
               -1.02,          8.02753e-07
               -1.01,          7.92508e-07
                  -1,          7.82244e-07
               -0.99,          7.71958e-07
               -0.98,          7.61651e-07
               -0.97,           7.5132e-07
               -0.96,          7.40964e-07
               -0.95,          7.30581e-07
               -0.94,           7.2017e-07
               -0.93,          7.09729e-07
               -0.92,          6.99257e-07
               -0.91,           6.8875e-07
                -0.9,          6.78206e-07
               -0.89,          6.67623e-07
               -0.88,          6.56998e-07
               -0.87,          6.46327e-07
               -0.86,          6.35607e-07
               -0.85,          6.24834e-07
               -0.84,          6.14003e-07
               -0.83,          6.03109e-07
               -0.82,          5.92145e-07
               -0.81,          5.81106e-07
                -0.8,          5.69983e-07
               -0.79,          5.58767e-07
               -0.78,          5.47448e-07
               -0.77,          5.36013e-07
               -0.76,          5.24448e-07
               -0.75,          5.12734e-07
               -0.74,           5.0085e-07
               -0.73,          4.88768e-07
               -0.72,          4.76455e-07
               -0.71,          4.63868e-07
                -0.7,          4.50946e-07
               -0.69,          4.37613e-07
               -0.68,          4.23752e-07
               -0.67,          4.09194e-07
               -0.66,          3.93655e-07
               -0.65,          3.76615e-07
               -0.64,          3.56867e-07
               -0.63,          3.29566e-07
               -0.62,                    0
               -0.61,                    0
                -0.6,                    0
               -0.59,                    0
               -0.58,                    0
               -0.57,                    0
               -0.56,                    0
               -0.55,                    0
               -0.54,                    0
               -0.53,                    0
               -0.52,                    0
               -0.51,                    0
                -0.5,                    0
               -0.49,                    0
               -0.48,                    0
               -0.47,                    0
               -0.46,                    0
               -0.45,                    0
               -0.44,                    0
               -0.43,                    0
               -0.42,                    0
               -0.41,                    0
                -0.4,                    0
               -0.39,                    0
               -0.38,                    0
               -0.37,                    0
               -0.36,                    0
               -0.35,                    0
               -0.34,                    0
               -0.33,                    0
               -0.32,                    0
               -0.31,                    0
                -0.3,          2.12511e-07
               -0.29,          2.09019e-07
               -0.28,          2.05468e-07
               -0.27,          2.01855e-07
               -0.26,          1.98176e-07
               -0.25,          1.94427e-07
               -0.24,          1.90605e-07
               -0.23,          1.86704e-07
               -0.22,           1.8272e-07
               -0.21,          1.78647e-07
                -0.2,          1.74479e-07
               -0.19,           1.7021e-07
               -0.18,           1.6583e-07
               -0.17,          1.61331e-07
               -0.16,          1.56703e-07
               -0.15,          1.51935e-07
               -0.14,          1.47011e-07
               -0.13,          1.41917e-07
               -0.12,          1.36633e-07
               -0.11,          1.31137e-07
                -0.1,          1.25399e-07
               -0.09,          1.19387e-07
               -0.08,          1.13055e-07
               -0.07,          1.06346e-07
               -0.06,           9.9185e-08
               -0.05,          9.14648e-08
               -0.04,          8.30298e-08
               -0.03,          7.36347e-08
               -0.02,          6.28505e-08
               -0.01,          4.97825e-08
                   0,          3.17238e-08
                0.01,          1.95496e-08
                0.02,          3.76438e-08
                0.03,          4.78654e-08
                0.04,          5.53367e-08
                0.05,           6.1296e-08
                0.06,           6.6277e-08
                0.07,          7.05676e-08
                0.08,           7.4344e-08
                0.09,           7.7724e-08
                 0.1,          8.07914e-08
                0.11,          8.36092e-08
                0.12,          8.62267e-08
                0.13,          8.86848e-08
                0.14,           9.1018e-08
                0.15,          9.32578e-08
                0.16,          9.54332e-08
                0.17,          9.75729e-08
                0.18,          9.97062e-08
                0.19,          1.01864e-07
                 0.2,          1.04081e-07
                0.21,          1.06396e-07
                0.22,          1.08855e-07
                0.23,          1.11511e-07
                0.24,          1.14432e-07
